1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,sieve size,SM-202_4m,sieve size,SM-202_11m,sieve size,SM-202_17m,sieve size,SM-202_20m,sieve size,SM-202_24m,sieve size,SM-202_30m,sieve size,SM-202_34m,sieve size,SM-202_39m
3,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000,76.200000000000000000,100.000000000000000000
4,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000,50.800000000000000000,100.000000000000000000
5,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000,38.100000000000000000,100.000000000000000000
6,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000,25.400000000000000000,100.000000000000000000
7,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000,19.020000000000000000,100.000000000000000000
8,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000,9.525000000000000000,100.000000000000000000
9,4.760000000000000000,100.000000000000000000,4.760000000000000000,100.000000000000000000,4.760000000000000000,100.000000000000000000,4.760000000000000000,100.000000000000000000,4.760000000000000000,100.000000000000000000,4.760000000000000000,99.758739365815900000,4.760000000000000000,100.000000000000000000,4.760000000000000000,100.000000000000000000
10,2.000000000000000000,99.498559987375200000,2.000000000000000000,97.862440666554400000,2.000000000000000000,100.000000000000000000,2.000000000000000000,99.531637460428200000,2.000000000000000000,99.469849258274000000,2.000000000000000000,97.656325267926200000,2.000000000000000000,97.833149171270700000,2.000000000000000000,97.338407604665300000
11,1.180000000000000000,99.177638379295400000,1.180000000000000000,88.430735566403000000,1.180000000000000000,99.932750974331400000,1.180000000000000000,99.288782810279900000,1.180000000000000000,98.033311764564900000,1.180000000000000000,93.744456413656000000,1.180000000000000000,91.521766201876700000,1.180000000000000000,94.216786894087500000
12,0.590000000000000000,98.475622361620700000,0.590000000000000000,66.008399259383900000,0.590000000000000000,99.680567128074200000,0.590000000000000000,98.959194356507200000,0.590000000000000000,96.117928439619400000,0.590000000000000000,89.091572754391800000,0.590000000000000000,81.289415066210600000,0.590000000000000000,89.945095395402100000
